dataset,model,threshold,precision,recall,dice,tp,fp,fn
Thebe,U-Net,0.9975,0.0,0.0,0.0,0,0,49313145
Thebe,U-Net,0.9875,0.0,0.0,0.0,0,0,49313145
Thebe,U-Net,0.9775,0.0,0.0,0.0,0,8,49313145
Thebe,U-Net,0.9675,0.015360983102918587,2.0278568726452146e-07,4.0556602051077147e-07,10,641,49313135
Thebe,U-Net,0.9575,0.01808873720136519,2.1495282850039276e-06,4.298545763443525e-06,106,5754,49313039
Thebe,U-Net,0.9475,0.02266801244848179,1.0930148543557707e-05,2.1849761485936204e-05,539,23239,49312606
Thebe,U-Net,0.9375,0.04148856331777988,5.156840027136781e-05,0.00010300876532490829,2543,58751,49310602
Thebe,U-Net,0.9275,0.07226834568451551,0.00018410912546745902,0.00036728257055888966,9079,116550,49304066
Thebe,U-Net,0.9175,0.10241821935971167,0.000505950289724981,0.0010069263212840777,24950,218659,49288195
Thebe,U-Net,0.9075,0.12185016048308706,0.0011616983666322641,0.0023014550585730696,57287,412856,49255858
Thebe,U-Net,0.8975,0.130966460575186,0.0023668334274765885,0.0046496383230651295,116716,774474,49196429
Thebe,U-Net,0.8875,0.13193449540179328,0.004397874035411856,0.008512010670656859,216873,1426920,49096272
Thebe,U-Net,0.8775,0.12990480517066927,0.007654226880074268,0.014456642166853238,377454,2528166,48935691
Thebe,U-Net,0.8675,0.1256659467166894,0.012113646371570906,0.022097217815115682,597362,4156209,48715783
Thebe,U-Net,0.8575,0.12106296580488268,0.017350525909470994,0.03035117601411095,855609,6211862,48457536
Thebe,U-Net,0.8475,0.11673041699059707,0.02308260809567104,0.03854351147292142,1138276,8613047,48174869
Thebe,U-Net,0.8375,0.11283076928354692,0.029346333518172486,0.04657809620898951,1447160,11378774,47865985
Thebe,U-Net,0.8275,0.10953190839465618,0.036125824057662514,0.05433189690304516,1781478,14482988,47531667
Thebe,U-Net,0.8175,0.10672023747259138,0.04319799517958143,0.061501529498426515,2130229,17830643,47182916
Thebe,U-Net,0.8075,0.1043082904648705,0.05048978320080782,0.06804352078685957,2489810,21379913,46823335
Thebe,U-Net,0.7975,0.10228365082556357,0.05810333127201682,0.07410851890726702,2865258,25147606,46447887
Thebe,U-Net,0.7875,0.10054199848727405,0.06614988762124176,0.07979802804341135,3262059,29182681,46051086
Thebe,U-Net,0.7775,0.09901518367810382,0.07469669598237955,0.08515372796953603,3683529,33518129,45629616
Thebe,U-Net,0.7675,0.09764952428817181,0.08378125142900539,0.09018535376890334,4131517,38178131,45181628
Thebe,U-Net,0.7575,0.09640675803111652,0.0934720955234147,0.09491674851722535,4609403,43202629,44703742
Thebe,U-Net,0.7475,0.09526572154086203,0.10381313136690025,0.09935593580766945,5119352,48618256,44193793
Thebe,U-Net,0.7375,0.09418390399915876,0.11478805499020596,0.10347021871961234,5660560,54440580,43652585
Thebe,U-Net,0.7275,0.09312455248140815,0.1263430267933631,0.10721982598211498,6230372,60673273,43082773
Thebe,U-Net,0.7175,0.09208492486968098,0.13841524404902586,0.11059390896644739,6825691,67298179,42487454
Thebe,U-Net,0.7075,0.09106005967268516,0.15099397939433795,0.11360703441975994,7445988,74324088,41867157
Thebe,U-Net,0.6975,0.09002745940674207,0.16399493481910352,0.11624209261024264,8087106,81742220,41226039
Thebe,U-Net,0.6875,0.08898643935417264,0.17736086392380773,0.11851227001076516,8746222,89540911,40566923
Thebe,U-Net,0.6775,0.08795659707100009,0.19109205060841283,0.12046506326843122,9423350,97713014,39889795
Thebe,U-Net,0.6675,0.08696631164759756,0.2051714203180511,0.12215472175061558,10117648,106222206,39195497
Thebe,U-Net,0.6575,0.08596385886227122,0.21945312958644192,0.12353627055569309,10821924,115067306,38491221
Thebe,U-Net,0.6475,0.08499845298630727,0.23400501022597525,0.12470124092049098,11539523,124222042,37773622
