model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,8,5299,876,2442,495,1947,381,0.20270270270270271,0.565068493150685,0.298372513562387,0.17534537725823593,0.6122031122031122,0.7945205479452054,0.6915472682247946
dip_steered_coherence,9,6027,839,769,106,663,733,0.1378413524057217,0.1263408820023838,0.1318407960199005,0.07057256990679095,0.5643693107932379,0.4564958283671037,0.5047331447666678
dip_steered_coherence,10,3259,459,370,42,328,417,0.11351351351351352,0.0915032679738562,0.10132689987937274,0.053367217280813214,0.5243243243243243,0.3159041394335512,0.394264730616135
dip_steered_coherence,11,5944,830,282,22,260,808,0.07801418439716312,0.02650602409638554,0.039568345323741004,0.02018348623853211,0.34397163120567376,0.20240963855421687,0.2548519775424988
dip_steered_coherence,12,4423,615,256,38,218,577,0.1484375,0.061788617886178863,0.08725602755453502,0.04561824729891957,0.50390625,0.25203252032520324,0.33600806621014156
dip_steered_coherence,13,7592,1139,249,104,145,1035,0.41767068273092367,0.0913081650570676,0.14985590778097982,0.08099688473520249,0.7590361445783133,0.3037752414398595,0.4338989798457328
dip_steered_coherence,14,4895,713,215,91,124,622,0.4232558139534884,0.1276297335203366,0.1961206896551724,0.1087216248506571,0.8558139534883721,0.38288920056100983,0.5290725536766604
dip_steered_coherence,15,6640,988,489,138,351,850,0.2822085889570552,0.1396761133603239,0.18686526743398782,0.10306198655713218,0.6871165644171779,0.39271255060728744,0.4997814836112708
dip_steered_coherence,16,6131,1008,601,150,451,858,0.24958402662229617,0.1488095238095238,0.18645121193287756,0.10281014393420151,0.6672212978369384,0.42956349206349204,0.5226438464814784
dip_steered_coherence,17,4955,728,708,173,535,555,0.2443502824858757,0.23763736263736263,0.24094707520891365,0.1369754552652415,0.635593220338983,0.4876373626373626,0.5518706601720386
dip_steered_coherence,18,2888,396,453,99,354,297,0.2185430463576159,0.25,0.2332155477031802,0.132,0.5849889624724062,0.40404040404040403,0.47796189832036967
dip_steered_coherence,19,5976,1057,661,79,582,978,0.11951588502269289,0.07473982970671712,0.0919674039580908,0.04820012202562538,0.5098335854765507,0.1400189214758751,0.21970015659516734
dip_steered_coherence,20,3661,659,366,49,317,610,0.13387978142076504,0.07435508345978756,0.09560975609756098,0.050204918032786885,0.5109289617486339,0.13353566009104703,0.2117330691387729
dip_steered_coherence,21,8272,1351,623,80,543,1271,0.12841091492776885,0.05921539600296077,0.08105369807497467,0.042238648363252376,0.5152487961476726,0.10140636565507032,0.16946102477351635
dip_steered_coherence,22,5335,822,622,78,544,744,0.12540192926045016,0.0948905109489051,0.10803324099722991,0.05710102489019034,0.5289389067524116,0.17883211678832117,0.2672934076137419
dip_steered_coherence,23,8769,1384,343,73,270,1311,0.21282798833819241,0.052745664739884394,0.08453966415749856,0.044135429262394194,0.597667638483965,0.09248554913294797,0.160183625131248
dip_steered_coherence,24,9240,1393,769,201,568,1192,0.2613784135240572,0.14429289303661164,0.18593894542090658,0.10249872514023457,0.7048114434330299,0.3912419239052405,0.5031721872974532
dip_steered_coherence,25,6216,939,342,88,254,851,0.2573099415204678,0.09371671991480299,0.13739266198282593,0.07376362112321877,0.6608187134502924,0.23535676251331203,0.3470930798204283
dip_steered_coherence,26,4368,583,435,112,323,471,0.2574712643678161,0.19210977701543738,0.2200392927308448,0.12362030905077263,0.6873563218390805,0.42538593481989706,0.5255335811507563
dip_steered_coherence,27,10151,1598,512,113,399,1485,0.220703125,0.0707133917396746,0.10710900473933649,0.05658487731597396,0.6015625,0.18335419274092615,0.28104640298972283
dip_steered_coherence,28,4191,556,264,47,217,509,0.17803030303030304,0.08453237410071943,0.11463414634146342,0.06080206985769728,0.5492424242424242,0.20323741007194246,0.2966899648716185
dip_steered_coherence,29,8859,1424,259,56,203,1368,0.21621621621621623,0.03932584269662921,0.06654783125371361,0.034419176398279044,0.5598455598455598,0.09831460674157304,0.16725714756529622
dip_steered_coherence,30,1611,234,138,49,89,185,0.35507246376811596,0.2094017094017094,0.26344086021505375,0.15170278637770898,0.8985507246376812,0.41452991452991456,0.5673317296353946
dip_steered_coherence,31,5453,865,280,63,217,802,0.225,0.07283236994219654,0.11004366812227075,0.05822550831792976,0.6071428571428571,0.18728323699421964,0.2862637077074996
