profile,sample_index,seed,fault_count,model,threshold,precision,recall,dice,predicted_fraction,truth_fraction
reference,0,20261201,6,U-Net,0.5,0.42245256479139376,0.6905610105096955,0.5242151156257725,0.07898664474487305,0.04832029342651367
reference,0,20261201,6,Hybrid DSA,0.15,0.33037301035388655,0.6750974490551143,0.4436410327910845,0.0987396240234375,0.04832029342651367
reference,0,20261201,6,SwinUNETR,0.4,0.5100437606447564,0.6176444466373908,0.5587106334356924,0.05851411819458008,0.04832029342651367
reference,1,20269120,4,U-Net,0.5,0.5616641116456098,0.7207298873965541,0.6313318874595205,0.04510164260864258,0.035147666931152344
reference,1,20269120,4,Hybrid DSA,0.15,0.24136445860969938,0.8743182743182744,0.3782963573875093,0.1273188591003418,0.035147666931152344
reference,1,20269120,4,SwinUNETR,0.4,0.480320680100078,0.7266585266585267,0.5783515006235727,0.05317354202270508,0.035147666931152344
reference,2,20277039,2,U-Net,0.5,0.19158673609208002,0.953686651660869,0.31907440581463015,0.03479957580566406,0.006990909576416016
reference,2,20277039,2,Hybrid DSA,0.15,0.048553770414578076,0.9982947957165268,0.09260360645365391,0.1437373161315918,0.006990909576416016
reference,2,20277039,2,SwinUNETR,0.4,0.24074104788283882,0.9900416069845167,0.38730421325079384,0.028749942779541016,0.006990909576416016
reference,3,20284958,5,U-Net,0.5,0.6732895466518786,0.7614805668254249,0.7146746378477811,0.05503082275390625,0.04865741729736328
reference,3,20284958,5,Hybrid DSA,0.15,0.3215614395566763,0.8097744066168833,0.4603270103896827,0.12253189086914062,0.04865741729736328
reference,3,20284958,5,SwinUNETR,0.4,0.5912608183770861,0.6447247211932342,0.6168364500658663,0.053057193756103516,0.04865741729736328
reference,4,20292877,5,U-Net,0.5,0.5593874201154836,0.7324779610718338,0.6343369253518398,0.05722856521606445,0.043704986572265625
reference,4,20292877,5,Hybrid DSA,0.15,0.2721070172796501,0.9068037007942742,0.41860277712023614,0.14564800262451172,0.043704986572265625
reference,4,20292877,5,SwinUNETR,0.4,0.5808610924070187,0.6400017456576765,0.6089989825792654,0.04815483093261719,0.043704986572265625
reference,5,20300796,5,U-Net,0.5,0.19152948371642628,0.8570836184196886,0.3130931372177746,0.10291624069213867,0.022998332977294922
reference,5,20300796,5,Hybrid DSA,0.15,0.15905691568920727,0.83784288113454,0.2673582739810315,0.12114524841308594,0.022998332977294922
reference,5,20300796,5,SwinUNETR,0.4,0.3034914753302896,0.8558810723393668,0.44809170248795105,0.06485795974731445,0.022998332977294922
reference,6,20308715,5,U-Net,0.5,0.4858795921670173,0.4588199335209689,0.47196221891805146,0.03535652160644531,0.03744173049926758
reference,6,20308715,5,Hybrid DSA,0.15,0.22466540612858477,0.5795647024362909,0.32380816849295574,0.0965876579284668,0.03744173049926758
reference,6,20308715,5,SwinUNETR,0.4,0.4104866886472122,0.42493091020236623,0.41758393041519354,0.03875923156738281,0.03744173049926758
reference,7,20316634,2,U-Net,0.5,0.4579094004746672,0.7688948955192847,0.5739859271523179,0.023105144500732422,0.013760089874267578
reference,7,20316634,2,Hybrid DSA,0.15,0.10456557579219296,0.8374051356689884,0.18591607810552555,0.11019659042358398,0.013760089874267578
reference,7,20316634,2,SwinUNETR,0.4,0.3667746093627189,0.8085386561319611,0.5046338852180684,0.030333518981933594,0.013760089874267578
low_frequency,0,20261201,6,U-Net,0.5,0.4789422975398585,0.7162086149898851,0.5740239094241728,0.07225799560546875,0.04832029342651367
low_frequency,0,20261201,6,Hybrid DSA,0.15,0.31598884331974725,0.7367543296985247,0.4422847935167029,0.11266279220581055,0.04832029342651367
low_frequency,0,20261201,6,SwinUNETR,0.4,0.5502389945515928,0.64978536537228,0.5958833138011701,0.05706214904785156,0.04832029342651367
low_frequency,1,20269120,4,U-Net,0.5,0.46703525975380766,0.7288563288563289,0.5692850557904441,0.054851531982421875,0.035147666931152344
low_frequency,1,20269120,4,Hybrid DSA,0.15,0.1998086546953194,0.8103378103378104,0.32057233943206154,0.14254379272460938,0.035147666931152344
low_frequency,1,20269120,4,SwinUNETR,0.4,0.4235410715326765,0.6899335232668566,0.5248708593721779,0.05725431442260742,0.035147666931152344
low_frequency,2,20277039,2,U-Net,0.5,0.1654165677664372,0.9506854921219562,0.28180062878458567,0.04017829895019531,0.006990909576416016
low_frequency,2,20277039,2,Hybrid DSA,0.15,0.035731115867187656,0.9929745583520906,0.06898005889697294,0.19427871704101562,0.006990909576416016
low_frequency,2,20277039,2,SwinUNETR,0.4,0.2300194931773879,0.9819248345951845,0.3727264489235828,0.02984333038330078,0.006990909576416016
low_frequency,3,20284958,5,U-Net,0.5,0.7015096204704883,0.7928402030536446,0.7443839737957114,0.0549921989440918,0.04865741729736328
low_frequency,3,20284958,5,Hybrid DSA,0.15,0.2821644519273147,0.87210168362047,0.4263767011875073,0.15038824081420898,0.04865741729736328
low_frequency,3,20284958,5,SwinUNETR,0.4,0.5760922511990407,0.602683208874777,0.5890878090366581,0.0509033203125,0.04865741729736328
low_frequency,4,20292877,5,U-Net,0.5,0.4738754431206581,0.7598520555119141,0.5837192247249869,0.07008028030395508,0.043704986572265625
low_frequency,4,20292877,5,Hybrid DSA,0.15,0.262895311772501,0.8008531901894038,0.3958464782428155,0.13313770294189453,0.043704986572265625
low_frequency,4,20292877,5,SwinUNETR,0.4,0.49514516485310645,0.5624945448197608,0.5266754861348766,0.049649715423583984,0.043704986572265625
low_frequency,5,20300796,5,U-Net,0.5,0.2467185055881753,0.9025730339408264,0.38751084900411703,0.08413505554199219,0.022998332977294922
low_frequency,5,20300796,5,Hybrid DSA,0.15,0.12626330607620778,0.9335489622856669,0.22244124149344796,0.1700420379638672,0.022998332977294922
low_frequency,5,20300796,5,SwinUNETR,0.4,0.24680043818633607,0.7660633202711948,0.3733271361379011,0.07138633728027344,0.022998332977294922
low_frequency,6,20308715,5,U-Net,0.5,0.5357245624351002,0.545344557506909,0.5404917577562921,0.038114070892333984,0.03744173049926758
low_frequency,6,20308715,5,Hybrid DSA,0.15,0.204823120118093,0.7033023012951949,0.31725259163724834,0.12856388092041016,0.03744173049926758
low_frequency,6,20308715,5,SwinUNETR,0.4,0.4162229321973731,0.41810471084168566,0.41716169939706604,0.03761100769042969,0.03744173049926758
low_frequency,7,20316634,2,U-Net,0.5,0.41914602484036206,0.8279793464324081,0.5565507040449098,0.027181625366210938,0.013760089874267578
